Date,"Double Support Time" (%),"Six-Minute Walk" (m),"Step Length" (in),"Walking Asymmetry" (%),"Walking Speed" (mi/hr)
"3/20/26","23.8-32.3","-","16.93-34.65","2.33","1.45-3.27"
"3/21/26","23.5-31.6","-","14.96-33.86","11.67","1.36-4.63"
"3/22/26","28.1-31.9","457","18.5-30.31","4.77","1.59-2.77"
"3/23/26","27.1-33","-","18.9-30.31","1.29","1.95-3.02"
"3/24/26","28.4-30.9","-","21.65-26.77","4.6","2.01-2.62"
"3/25/26","28.8-32","-","20.08-30.71","1.25","1.79-2.89"
"3/26/26","30.3-31.7","-","12.99-25.2","-","1.21-2.33"
"3/27/26","26.1-32.2","-","18.11-35.43","6.85","1.54-3.15"
"3/28/26","30.1-30.7","-","17.32-22.83","-","1.52-2.21"
"3/29/26","30-31.4","479","19.29-24.02","-","1.7-2.26"
"3/30/26","26.7-32.6","-","20.08-32.28","4.31","1.77-2.98"
"3/31/26","27-31.2","-","14.17-29.92","2.3","1.25-2.95"
"4/1/26","23.4-31.5","-","17.72-31.5","2.25","1.74-2.86"
"4/2/26","26.2-31.9","-","22.44-31.1","1.62","2.15-3.06"
"4/3/26","26.9-31.5","-","18.9-35.83","0.25","1.66-2.98"
"4/4/26","27.1-31.5","-","18.5-33.07","2.4","1.68-3.24"
"4/5/26","28.4-31.6","-","21.65-26.77","1.91","1.77-2.71"
"4/6/26","27.3-32.2","500","17.32-28.74","0.67","1.63-2.84"
"4/7/26","27.4-32.7","-","16.14-29.53","0.6","1.5-2.8"
"4/8/26","25.9-32.6","-","16.54-32.28","2.05","1.57-3.33"
"4/9/26","28.8-32.4","-","17.72-27.56","0.75","1.52-2.59"
"4/10/26","27.5-32.4","-","14.17-31.5","7.2","1.03-2.89"
"4/11/26","23.5-31.7","-","19.29-27.56","8.71","1.59-2.73"
"4/12/26","27.9-32.1","-","18.5-29.53","-","1.61-2.8"
"4/13/26","25.9-31.5","500","20.47-34.25","7.5","1.86-3.27"
"4/14/26","27.7-31.9","-","18.9-27.56","6.2","1.81-2.66"
"4/15/26","27.6-31.6","-","15.35-27.17","1.25","1.45-2.64"
"4/16/26","26.4-31.6","-","20.47-30.31","8.67","1.88-3.02"
"4/17/26","26.1-33","-","19.29-28.35","9.12","1.54-2.98"
"4/18/26","30-30.6","-","24.02-26.77","0.67","2.24-2.53"
"4/19/26","24.6-33.5","-","16.93-34.65","19.06","1.23-3.36"
"4/20/26","26.4-31.4","411","24.02-31.1","1.33","2.01-3.2"
